id,nom,groupe,subject_group_id,teaching_type_id
400,"ELCTRICAL MACHINE","Groupe 2",,3
401,"ELECTRICAL AND ELECTRONIQUE CIRCUITS","Groupe 2",,3
403,ECM,"Groupe 1",,3
405,Hygiène,"Groupe 1",,3
406,"Travail manuel","Groupe 3",,3
407,Mathematique,"Groupe 2",,3
408,Mathematique,"Groupe 2",,3
409,Informatique,"Groupe 2",,3
410,Anglais,"Groupe 1",,3
411,"Sciences physique","Groupe 2",,3
412,Français,"Groupe 1",,3
413,Législation,"Groupe 1",,3
414,Materiaux,"Groupe 2",,3
415,Dessin,"Groupe 2",,3
416,Dessin,"Groupe 2",,3
417,Français,"Groupe 1",,3
418,Informatique,"Groupe 2",,3
419,"Travail manuel","Groupe 3",,3
420,"Science physique","Groupe 2",,3
421,MATHEMATIQUES,"Groupe 2",,3
422,"Etude de  texte","Groupe 1",,3
423,"Correction orthographie","Groupe 1",,3
424,"Expression ecrite","Groupe 1",,3
425,Anglais,"Groupe 1",,3
426,ECM,"Groupe 1",,3
427,Espagnol,"Groupe 1",,3
428,HISTOIRE,"Groupe 1",,3
429,Geographie,"Groupe 1",,3
431,PCT,"Groupe 2",,3
432,Informatique,"Groupe 2",,3
433,Mathematque,"Groupe 2",,3
434,SVTEEHB,"Groupe 2",,3
435,ESF,"Groupe 2",,3
436,"Schéma électrique","Groupe 2",,3
437,"Circuit électrique","Groupe 2",,3
438,PID,"Groupe 2",,3
439,"Dessin technique","Groupe 2",,3
440,"Essaie et mesure","Groupe 2",,3
441,"Circuit électrique","Groupe 2",,3
442,"Essaie et mesure","Groupe 2",,3
444,Eps,"Groupe 3",,3
445,Production,"Groupe 2",,3
446,Mathematics,"Groupe 2",,3
447,H.biology,"Groupe 2",,3
448,Eps,"Groupe 3",,3
449,"Technologie professionnelle","Groupe 2",,3
450,"Dessin technique","Groupe 2",,3
451,Traçage,"Groupe 2",,3
452,RESEO,"Groupe 2",,3
453,Français,"Groupe 1",,3
454,Anglais,"Groupe 1",,3
455,"Mécanique Appliqué","Groupe 2",,3
456,Législation,"Groupe 1",,3
457,RESEO,"Groupe 2",,3
458,Commerce,"Groupe 1",,3
459,B.Maths,"Groupe 2",,3
460,Accounting,"Groupe 2",,3
461,HYGIÈNE,"Groupe 3",,3
462,PDC,"Groupe 2",,3
463,Commerce,"Groupe 1",,3
464,"Science physique","Groupe 2",,3
465,"Comptabilité d'entreprise","Groupe 2",,3
466,"Mathematique Appliqué","Groupe 2",,3
467,ECM,"Groupe 1",,3
468,MOB,"Groupe 2",,3
469,Informatique,"Groupe 2",,3
470,RPC,"Groupe 2",,3
473,PCQ,"Groupe 2",,3
475,Histoire/Géographie,"Groupe 1",,3
476,Anglais,"Groupe 2",,3
477,Français,"Groupe 1",,3
478,Mathematique,"Groupe 2",,3
479,"Économie générale","Groupe 1",,3
480,OTA,"Groupe 2",,3
481,PRP,"Groupe 1",,3
482,Bureautique,"Groupe 2",,3
483,"Comptabilité financière","Groupe 2",,3
484,ECM,"Groupe 1",,3
485,INFORMATIQUE,"Groupe 2",,3
486,EPS,"Groupe 3",,3
