subject_id,nom,groupe,matched_group_id,matched_group_libelle,match_type
78,"Mathématiques Appliquées","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
79,Management,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
81,MOB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
82,RPC,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
83,OTA,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
84,"Prise de parole rapide","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
85,TAS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
86,Bureautique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
87,Comptabilité,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
88,Statistiques,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
89,"Examen de Laboratoire","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
90,"Gestion des ressources humaines","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
91,GSS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
92,"Santé publique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
93,"Soins infirmiers","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
94,"Terminologie Médical","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
95,BPPH,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
96,Bureautique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
97,"Science physique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
98,"Action sociale","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
234,"Metier et formation","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
236,"Connaissance des materiaux","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
237,"Dessin technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
243,Informatique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
244,Mathematiques,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
245,"Sciences physique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
247,Materiaux,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
248,Ajustage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
249,RESEO,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
250,"Technologie professionnel","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
251,Tracage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
252,RESEO,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
253,"Schema electrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
256,Technologie,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
257,"Machine electrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
258,"Dessin technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
262,"Dessin Industriel","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
263,Exploitation,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
264,"Mecanique Appliquée","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
265,Métré,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
266,"Procédé de Construction","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
267,Réglementation,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
268,Topographie,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
272,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
273,Mathematiques,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
275,"Sciences Physiques","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
276,"Dessin Technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
278,Montage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
279,TPFA,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
280,"Travaux Pratique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
281,"Mecanique Appliquée","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
282,PPRO,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
283,Traçage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
284,"Mecanique Appliquée","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
285,Laboratoire,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
286,MPN,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
287,Maintenance,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
288,"Travaux Pratique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
289,"Technologie des Materiaux","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
290,"Processus Previsionnel","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
291,"SCHEMA ELECTRIQUE","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
292,"Electronique et electrotechnique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
293,"Technologie Schema","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
294,"Sols et Materiaux","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
295,ANALYSE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
296,"Dessin de Mode","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
297,PATRONAGE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
298,"Dessin Technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
300,Technologie,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
301,Mathematique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
302,"Dessin de Mode","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
303,Coupe,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
304,Couture,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
306,Bureautique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
307,"Rédaction Professionnel","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
308,PRP,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
309,DCC,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
310,OTA,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
311,Commerce,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
314,"Pratique comptable","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
315,"Travaux comptable","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
317,"Mathematique Commerciale","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
319,"Dessin technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
320,MOB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
321,"Terminologie Médical","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
322,Deontologie,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
323,GEH,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
325,"Technologie Electrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
326,"Technologie Mecanique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
327,"Reception d'un vehicule","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
328,"Moteur CI","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
329,"Procedes de Realisation","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
330,"Devis et estimation","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
333,"Business Managemennt","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
336,"Business Maths","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
337,"Commerce And financial","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
343,ICT,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
345,"Pure Ma thematics and statistics","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
346,Biology,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
347,Statistics,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
348,Chemistry,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
349,Physic,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
352,Mathematics,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
355,"Food and nutrition","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
364,"COMPUTER STUDIES","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
365,BIOLOGY,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
366,CHEMISTRY,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
367,MATHEMATICS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
368,PHYSICS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
377,"COMPUTER STUDIES","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
379,CHEMISTRY,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
380,MATHEMATICS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
381,PHYSICS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
382,"C.S. (General Science)","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
387,ECONOMICS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
390,"COMPUTER STUDIES","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
